Bar0, 21.074821852731592, 0, grow max
Bar0, 7.066508313539191, 0, grow min
Bar1, 21.074821852731592, 1, grow max
Bar1, 9.061757719714965, 1, grow min
Bar2, 21.074821852731592, 2, grow max
Bar2, 9.06175771971496, 2, grow min
Bar3, 21.116389548693586, 3, grow max
Bar3, 9.061757719714954, 3, grow min
Bar4, 23.070071258907365, 4, grow max
Bar4, 9.061757719714965, 4, grow min
Bar5, 23.111638954869363, 5, grow max
Bar5, 9.061757719714972, 5, grow min
Bar6, 23.111638954869363, 6, grow max
Bar6, 9.061757719714965, 6, grow min
Bar7, 23.070071258907365, 7, grow max
Bar7, 9.061757719714965, 7, grow min
Bar8, 23.111638954869363, 8, grow max
Bar8, 9.061757719714954, 8, grow min
Bar9, 23.111638954869356, 9, grow max
Bar9, 9.061757719714972, 9, grow min
Bar10, 23.111638954869356, 10, grow max
Bar10, 9.061757719714965, 10, grow min
Bar11, 23.111638954869363, 11, grow max
Bar11, 9.061757719714972, 11, grow min
