Bar0, 11.098574821852731, 0, grow min
Bar0, 31.009501187648457, 0, grow max
Bar1, 15.005938242280285, 1, grow min
Bar1, 29.01425178147269, 1, grow max
Bar2, 15.04750593824228, 2, grow min
Bar2, 21.074821852731592, 2, grow max
Bar3, 17.04275534441805, 3, grow min
Bar3, 31.009501187648457, 3, grow max
Bar4, 17.04275534441805, 4, grow min
Bar4, 29.05581947743468, 4, grow max
Bar5, 17.04275534441805, 5, grow min
Bar5, 31.009501187648457, 5, grow max
Bar6, 17.001187648456057, 6, grow min
Bar6, 29.01425178147269, 6, grow max
Bar7, 17.001187648456057, 7, grow min
Bar7, 29.05581947743468, 7, grow max
Bar8, 17.04275534441805, 8, grow min
Bar8, 31.00950118764846, 8, grow max
Bar9, 17.001187648456057, 9, grow min
Bar9, 31.00950118764846, 9, grow max
