Individual production SI,,Individual production CC,,Individual production TS,
X,Y,X,Y,X,Y
1.01126355,0.725990854,1.002480159,0.859375,1.002601142,0.840320122
1.98721206,0.76410061,1.987695993,0.687881098,1.983328494,1.375762195
2.998294135,0.26867378,2.993805652,0.975609756,2.995862369,0.651676829
3.995741386,0.670731707,4.005686218,0.354420732,4.005468448,0.388719512
5.990998839,0.167682927,5.987925861,0.651676829,5.987889566,0.657393293
9.999007937,0.15625,9.990418118,0.259146341,7.983134921,0.15625
11.98960753,0.386814024,11.98993419,0.335365854,9.99818525,0.285823171
14.9825542,0.247713415,14.98922038,0.447789634,11.98893002,0.493521341
15.99050281,0.245807927,15.99869338,0.205792683,14.98960753,0.386814024
19.01501403,0.135289634,18.99883856,0.182926829,15.99024874,0.285823171
,,,,18.99858449,0.222942073
