month,value,species,Var
Oct,17.64705882,Ecklonia,Vmax
Nov,45.32871972,Ecklonia,Vmax
Jan,20.76124567,Ecklonia,Vmax
Mar,46.36678201,Ecklonia,Vmax
Oct,38.75432526,Lessonia,Vmax
Nov,46.02076125,Lessonia,Vmax
Jan,30.79584775,Lessonia,Vmax
Mar,20.41522491,Lessonia,Vmax
Oct,158.8235294,Macrocystis,Vmax
Nov,37.02422145,Macrocystis,Vmax
Jan,200.3460208,Macrocystis,Vmax
Mar,71.97231834,Macrocystis,Vmax
Oct,22.85714286,Ecklonia,Ks
Nov,121.2698413,Ecklonia,Ks
Jan,66.03174603,Ecklonia,Ks
Mar,203.8095238,Ecklonia,Ks
Oct,133.968254,Lessonia,Ks
Nov,104.1269841,Lessonia,Ks
Jan,123.8095238,Lessonia,Ks
Mar,118.0952381,Lessonia,Ks
Oct,325.7142857,Macrocystis,Ks
Nov,53.96825397,Macrocystis,Ks
Jan,361.2698413,Macrocystis,Ks
Mar,168.2539683,Macrocystis,Ks
